dataset,project_broad_celltype,program,mean_score,detection_fraction
GSE149614,neutrophil,B,1.9287837846054,1
GSE149614,endothelial,B,1.50340821678778,1
GSE149614,other/uncertain,B,1.98883873586084,1
GSE149614,hepatocyte/tumor epithelial,B,1.20018814261745,1
GSE149614,T/NK,plasma,1.32107242117014,0.971698113207547
GSE149614,monocyte/macrophage,plasma,1.59311787404648,1
GSE149614,plasma,plasma,4.25877587074169,1
GSE149614,B,plasma,1.55515849973813,0.982758620689655
GSE149614,neutrophil,plasma,1.63655615225343,1
GSE149614,endothelial,plasma,1.46861101030191,1
GSE149614,other/uncertain,plasma,1.56013944368903,1
GSE149614,hepatocyte/tumor epithelial,plasma,1.59267541152091,1
GSE149614,T/NK,monocyte/macrophage,1.31071970763338,0.981132075471698
GSE149614,monocyte/macrophage,monocyte/macrophage,3.39642264588349,1
GSE149614,plasma,monocyte/macrophage,1.53490761880868,1
GSE149614,B,monocyte/macrophage,2.56342319646597,1
GSE149614,neutrophil,monocyte/macrophage,1.16261655434598,1
GSE149614,endothelial,monocyte/macrophage,2.02030882765008,1
GSE149614,other/uncertain,monocyte/macrophage,1.67082852279453,1
GSE149614,hepatocyte/tumor epithelial,monocyte/macrophage,2.76865163277319,1
GSE149614,T/NK,neutrophil,1.42748921211989,0.984276729559748
GSE149614,monocyte/macrophage,neutrophil,0.922421476116594,0.97752808988764
GSE149614,plasma,neutrophil,0.618823430251417,1
GSE149614,B,neutrophil,1.04899359047444,0.96551724137931
GSE149614,neutrophil,neutrophil,1.95254340148661,1
GSE149614,endothelial,neutrophil,0.411544988592506,1
GSE149614,other/uncertain,neutrophil,1.66878258417493,1
GSE149614,hepatocyte/tumor epithelial,neutrophil,0.373413349250954,1
GSE149614,T/NK,dendritic,0.82090397515492,0.845911949685535
GSE149614,monocyte/macrophage,dendritic,2.19891052676357,0.98876404494382
GSE149614,plasma,dendritic,0.817548650116043,1
GSE149614,B,dendritic,2.27499483845417,0.982758620689655
GSE149614,neutrophil,dendritic,0.459984439030462,0.7
GSE149614,endothelial,dendritic,1.22260626418582,1
GSE149614,other/uncertain,dendritic,0.859451920745022,1
GSE149614,hepatocyte/tumor epithelial,dendritic,1.17485066241801,1
GSE149614,T/NK,mast,0.00168202648398341,0.00314465408805031
GSE149614,monocyte/macrophage,mast,0.00938796947990283,0.0224719101123596
GSE149614,plasma,mast,0,0
GSE149614,B,mast,0.00434202652131499,0.0172413793103448
GSE149614,neutrophil,mast,0.0602859246069445,0.1
GSE149614,endothelial,mast,0,0
